date,total_casos,total_mortes,total_recuperados,casos_diarios,mortes_diarias,casos_recuperados,crescimento_casos,crescimento_mortes,crescimento_recuperacoes,casos_7d,mortes_7d,recuperacao_7d
2022-12-04,645269011,6642384,0,257147.0,636.0,0.0,0.03986701863207899,0.009575792396820836,0.0,528164.7142857143,1484.2857142857142,0.0
2022-12-05,645774500,6643774,0,505489.0,1390.0,0.0,0.07833771518279219,0.020926221669810115,0.0,542407.5714285715,1514.5714285714287,0.0
2022-12-06,646399010,6645516,0,624510.0,1742.0,0.0,0.09670713228843815,0.026220036985002804,0.0,527238.2857142857,1534.857142857143,0.0
2022-12-07,647032502,6647694,0,633492.0,2178.0,0.0,0.09800324415719636,0.032773978724902626,0.0,541197.0,1613.2857142857142,0.0
2022-12-08,647841604,6650703,0,809102.0,3009.0,0.0,0.12504812316213443,0.045263816294793355,0.0,555891.4285714285,1701.2857142857142,0.0
2022-12-09,648512056,6652882,0,670452.0,2179.0,0.0,0.10349011175886134,0.032763453728124683,0.0,542871.5714285715,1677.5714285714287,0.0
2022-12-10,648786733,6653491,0,274677.0,609.0,0.0,0.042354956620883545,0.009153927576048998,0.0,539267.0,1677.5714285714287,0.0
2022-12-11,649085967,6654152,0,299234.0,661.0,0.0,0.04612208986092199,0.009934634314527516,0.0,545279.4285714285,1681.142857142857,0.0
2022-12-12,649658720,6655818,0,572753.0,1666.0,0.0,0.08823992955004063,0.025036999455377636,0.0,554888.5714285715,1720.5714285714287,0.0
2022-12-13,650436793,6657780,0,778073.0,1962.0,0.0,0.11976642136043367,0.02947796949976697,0.0,576826.1428571428,1752.0,0.0
2022-12-14,651122541,6660233,0,685748.0,2453.0,0.0,0.10542884525906579,0.036844113202899466,0.0,584291.2857142857,1791.2857142857142,0.0
2022-12-15,651873247,6663038,0,750706.0,2805.0,0.0,0.11529411942137018,0.04211564370195457,0.0,575949.0,1762.142857142857,0.0
2022-12-16,652605304,6665736,0,732057.0,2698.0,0.0,0.11230051292471586,0.04049203981727254,0.0,584749.7142857143,1836.2857142857142,0.0
2022-12-17,652905777,6666547,0,300473.0,811.0,0.0,0.046042071395729876,0.012166698471106567,0.0,588434.8571428572,1865.142857142857,0.0
2022-12-18,653189501,6667338,0,283724.0,791.0,0.0,0.04345558118717641,0.011865212980573001,0.0,586219.1428571428,1883.7142857142858,0.0
2022-12-19,653775912,6669159,0,586411.0,1821.0,0.0,0.08977655015921636,0.027312249656459595,0.0,588170.2857142857,1905.857142857143,0.0
2022-12-20,654484792,6671373,0,708880.0,2214.0,0.0,0.10842858951952332,0.03319758908132195,0.0,578285.5714285715,1941.857142857143,0.0
2022-12-21,655205564,6673938,0,720772.0,2565.0,0.0,0.11012815099911444,0.03844785773483209,0.0,583289.0,1957.857142857143,0.0
